,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Rich,Poor,Middle Class,Savings,Wallets,Money,Loans,Model Params,Run,AgentID,Wealth
0,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,0,31
1,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,1,-7
2,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,2,-47
3,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,3,-1
4,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,4,-35
5,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,5,3
6,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,6,-18
7,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,7,39
8,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,8,11
9,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,9,-7
10,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,10,-6
11,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,11,13
12,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,12,12
13,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,13,-16
14,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,14,-8
15,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,15,74
16,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,16,-28
17,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,17,7
18,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,18,67
19,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,19,-20
20,0,0,1000,25,5,5,11,8,6,321,0,321,237,"(25, 5, 5)",1,20,23
